mlst_scheme_name	amrfinder_species	resfinder_species
abaumannii	Acinetobacter_baumannii	
abaumannii_2	Acinetobacter_baumannii	
campylobacter	Campylobacter	campylobacter
campylobacter_nonjejuni	Campylobacter	campylobacter
campylobacter_nonjejuni_2	Campylobacter	campylobacter
campylobacter_nonjejuni_3	Campylobacter	campylobacter
campylobacter_nonjejuni_4	Campylobacter	campylobacter
campylobacter_nonjejuni_5	Campylobacter	campylobacter
campylobacter_nonjejuni_6	Campylobacter	campylobacter
campylobacter_nonjejuni_7	Campylobacter	campylobacter
campylobacter_nonjejuni_8	Campylobacter	campylobacter
campylobacter_nonjejuni_9	Campylobacter	campylobacter
cdifficile	Clostridioides_difficile	
ecoli	Escherichia	escherichia_coli
ecoli_achtman_4	Escherichia	escherichia_coli
efaecalis	Enterococcus_faecalis	enterococcus_faecalis
efaecium	Enterococcus_faecium	enterococcus_faecium
helicobacter		helicobacter_pylori
klebsiella	Klebsiella_oxytoca	klebsiella
koxytoca	Klebsiella_oxytoca	klebsiella
mycobacteria_2		mycobacterium_tuberculosis
neisseria	Neisseria_gonorrhoeae	neisseria_gonorrhoeae
saureus	Staphylococcus_aureus	staphylococcus_aureus
senterica_achtman_2	Salmonella	salmonella
